2023/12/18 11:03:17 [notice] 1#1: using the "epoll" event method
2023/12/18 11:03:17 [notice] 1#1: nginx/1.25.1
2023/12/18 11:03:17 [notice] 1#1: built by gcc 12.2.1 20220924 (Alpine 12.2.1_git20220924-r4) 
2023/12/18 11:03:17 [notice] 1#1: OS: Linux 6.5.11-linuxkit
2023/12/18 11:03:17 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2023/12/18 11:03:17 [notice] 1#1: start worker processes
2023/12/18 11:03:17 [notice] 1#1: start worker process 20
2023/12/18 11:03:17 [notice] 1#1: start worker process 21
2023/12/18 11:03:17 [notice] 1#1: start worker process 22
2023/12/18 11:03:17 [notice] 1#1: start worker process 23
2023/12/18 11:03:17 [notice] 1#1: start worker process 24
2023/12/18 11:03:17 [notice] 1#1: start worker process 25
2023/12/18 11:03:17 [notice] 1#1: start worker process 26
2023/12/18 11:03:17 [notice] 1#1: start worker process 27
2023/12/18 11:03:17 [notice] 1#1: start worker process 28
2023/12/18 11:03:17 [notice] 1#1: start worker process 29
2023/12/18 11:03:17 [notice] 1#1: start worker process 30
2023/12/18 11:03:17 [notice] 1#1: start worker process 31
2023/12/18 11:03:17 [notice] 1#1: start worker process 32
2023/12/18 11:03:17 [notice] 1#1: start worker process 33
2023/12/18 11:03:17 [notice] 1#1: start worker process 34
2023/12/18 11:03:17 [notice] 1#1: start worker process 35
